SL_NO,Brand,Model,Announced,Audio_jack,Battery,Bluetooth,CPU,Chipset,Colors,Dimensions,Display_type,GPU,Internal_memory,Loud_speaker,Memory_card,Network,Operating_System,Primary_camera,RAM,Radio,SIM,Secondary_camera,Sensors,Status,USB
494,Motorola,A1680,2010 July. Released 2010 Q3,Yes,Removable Li-Ion battery,2.0| A2DP,Marvell PXA935 624 MHz,(undefined),Gray,106.9 x 54.5 x 17.3 mm (4.21 x 2.15 x 0.68 in),AMOLED resistive touchscreen 16M colors (65K effective),(undefined),512 MB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 1.6 (Donut),5 MP| autofocus,256 MB RAM,Stereo FM radio| RDS,Mini-SIM,No,Accelerometer| compass,Discontinued,microUSB 2.0
495,Motorola,W160,2007 October,No,Removable Li-Ion battery,No,(undefined),(undefined),Black,114 x 43 x 14 mm (4.49 x 1.69 x 0.55 in),Monochrome graphics,(undefined),20 KB,Yes,No,GSM,(undefined),(undefined),(undefined),FM radio (W160 only),Mini-SIM,(undefined),(undefined),Cancelled,1.1
496,Motorola,V295,2003 3Q,No,Removable Li-Ion battery,No,(undefined),(undefined),Silver| Blue,87 x 47 x 22 mm| 77 cc (3.43 x 1.85 x 0.87 in),CSTN 4096 colors,(undefined),(undefined),No,No,GSM,(undefined),VGA,(undefined),No,Mini-SIM,No,(undefined),Cancelled,(undefined)
497,Motorola,W375,2006 June,No,Removable Li-Ion 850 mAh battery (BT50),No,(undefined),(undefined),Cannon Gray| Lustrous Silver| Mandarin Orange.,99 x 45 x 18.6 mm| 73 cc (3.90 x 1.77 x 0.73 in),TFT 65K colors,(undefined),1.5 MB,Yes,No,GSM,(undefined),VGA,(undefined),FM radio,Mini-SIM,No,(undefined),Discontinued,miniUSB
498,Motorola,A835,2003,No,Removable Li-Po 1050 mAh battery (BA680),1.1,(undefined),(undefined),(undefined),135 x 58.2 x 24.2 mm| 134 cc (5.31 x 2.29 x 0.95 in),TFT 65K colors,(undefined),64 MB,No,No,GSM / UMTS,(undefined),VGA,(undefined),No,Mini-SIM,Yes,(undefined),Discontinued,Yes
499,Motorola,V2288,2000,No,Removable NiMH 700 mAh battery,No,(undefined),(undefined),3,137 x 50 x 23 mm (5.39 x 1.97 x 0.91 in),Monochrome graphic,(undefined),(undefined),Yes,No,GSM,(undefined),(undefined),(undefined),FM radio,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
500,Motorola,Q 11,2008 October. Released 2008 December,No,Removable Li-Ion 1170 mAh battery,2.1| A2DP,Freescale ARM 7 LTE,(undefined),Black,117 x 64 x 11.7 mm| 85 cc (4.61 x 2.52 x 0.46 in),TFT 65K colors,(undefined),128 MB Flash,Yes,microSD up to 16 GB (dedicated slot),GSM,Microsoft Windows Mobile 6.1 Standard,3.15 MP| LED flash,64 MB RAM,No,Mini-SIM,No,(undefined),Discontinued,microUSB 1.1
501,Motorola,W220,2006 February,No,Removable Li-Ion 880 mAh battery,No,(undefined),(undefined),(undefined),95 x 46 x 16.7 mm| 74 cc (3.74 x 1.81 x 0.66 in),CSTN 65K colors,(undefined),500 KB,No,No,GSM,(undefined),(undefined),(undefined),FM radio,Mini-SIM,(undefined),(undefined),Discontinued,No
502,Motorola,MT810lx,2010 November. Released 2010 November,Yes,Removable Li-Ion 1140 mAh battery,2.1| A2DP,600 MHz Cortex-A8,TI OMAP 3430,Gray,108.6 x 55.5 x 18.1 mm (4.28 x 2.19 x 0.71 in),TFT resistive touchscreen 16M colors,PowerVR SGX530,512 MB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android-based OPhone 2.0,5 MP| autofocus| LED flash,512 MB RAM,Stereo FM radio| RDS,Mini-SIM,VGA videocall camera,Accelerometer| compass,Discontinued,microUSB 2.0
503,Motorola,Talkabout T192,2001,No,Removable Li-Ion battery,No,(undefined),(undefined),3 - Silver Mist| Magic Green| Graphite Grey,120 x 46 x 23 mm| 93 cc (4.72 x 1.81 x 0.91 in),Monochrome graphic,(undefined),(undefined),No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
504,Motorola,Moto G Turbo Edition,2015 November,Yes,Non-removable Li-Ion 2470 mAh battery,4.0| A2DP| LE,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Black| White,142.1 x 72.4 x 11.6 mm (5.59 x 2.85 x 0.46 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA / LTE,Android 5.1.1 (Lollipop)| upgradable to 6.0 (Marshmallow),13 MP| f/2.0| autofocus| dual-LED (dual tone) flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.2| auto-HDR,Accelerometer| proximity,Available. Released 2015 November,microUSB 2.0| USB Host
505,Motorola,WX181,2010 April. Released 2010 July,No,Removable Li-Ion 750 mAh battery,No,(undefined),(undefined),Black,108 x 46 x 14.8 mm (4.25 x 1.81 x 0.58 in),CSTN 65K colors,(undefined),(undefined),Yes,No,GSM,(undefined),(undefined),(undefined),Stereo FM radio| RDS,Mini-SIM,(undefined),(undefined),Discontinued,miniUSB
506,Motorola,V80,2003 4Q,No,Removable Li-Ion 820 mAh battery (BA620),1.1,(undefined),(undefined),Onyx and Platinum,99 x 45 x 23 mm| 82 cc (3.90 x 1.77 x 0.91 in),TFT 65K colors,(undefined),5 MB,Yes,No,GSM,(undefined),VGA,(undefined),No,Mini-SIM,No,(undefined),Discontinued,Yes
507,Motorola,WX161,2010 April. Released 2010 July,No,Removable Li-Ion 750 mAh battery,No,(undefined),(undefined),Black,108 x 46 x 14.8 mm (4.25 x 1.81 x 0.58 in),Monochrome,(undefined),(undefined),Yes,No,GSM,(undefined),(undefined),(undefined),FM radio| RDS,Mini-SIM,(undefined),(undefined),Discontinued,miniUSB
508,Motorola,Moto 360 42mm (2nd gen),2015 September,No,Non-removable Li-Ion 300 mAh battery,4.0| LE,Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Gold| Black Leather| Black Metal| Rose Gold/Blush Leather| Silver/Cognac Leather,42 x 42 x 11.4 mm (1.65 x 1.65 x 0.45 in),IPS LCD capacitive touchscreen 16M colors,Adreno 305,4 GB,No,No,No cellular connectivity,Android Wear| planned upgrade to 2.0,(undefined),512 MB RAM,No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2015 September,No
509,Motorola,Motosmart Flip XT611,2012 March,Yes,Removable Li-Ion 1540 mAh battery,3.0| A2DP,800 MHz,Qualcomm MSM7227T-1 Snapdragon S1,Black,110 x 58.5 x 13.9 mm / 14.4 mm (w/ NFC),TFT capacitive touchscreen 256K colors,Adreno 200,512 MB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 2.3 (Gingerbread),5 MP| autofocus| LED flash,512 MB RAM,No,Mini-SIM,VGA,Accelerometer| proximity,Available. Released 2012 March,microUSB 2.0
510,Motorola,Droid Bionic Targa,Not officially announced yet,Yes,Removable Li-Po 1750 mAh battery,2.1| A2DP| EDR,Dual-core 1.0 GHz,(undefined),Black,-,Capacitive touchscreen 16M colors,(undefined),(undefined),Yes,microSD up to 32 GB (dedicated slot),CDMA / EVDO / LTE,Android 2.3 (Gingerbread),8 MP| autofocus| dual-LED flash,(undefined),(undefined),Mini-SIM,Yes,Accelerometer| proximity| compass,Cancelled,microUSB 2.0
511,Motorola,V3x,2005 1Q,No,Removable Li-Ion 840 mAh battery (BC60),1.2| A2DP,(undefined),(undefined),(undefined),99 x 55 x 20 mm| 89 cc (3.90 x 2.17 x 0.79 in),TFT 256K colors,(undefined),64 MB,Yes,microSD up to 2 GB (dedicated slot),GSM / UMTS,(undefined),2 MP| LED flash,(undefined),No,Mini-SIM,VGA videocall camera,(undefined),Discontinued,Yes
512,Motorola,V560,2005 1Q,No,Removable Li-Ion battery,1.1,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),5 MB,Yes,No,GSM,(undefined),VGA,(undefined),No,Mini-SIM,No,(undefined),Cancelled,(undefined)
513,Motorola,V235,2005 1Q,No,Removable Li-Ion 810 mAh battery,No,(undefined),(undefined),Silver,85.9 x 46.8 x 24.7 mm (3.38 x 1.84 x 0.97 in),CSTN 65K colors,(undefined),9 MB,Yes,No,GSM,(undefined),VGA,(undefined),No,Mini-SIM,No,(undefined),Discontinued,miniUSB
514,Motorola,W510,2007 February,No,Removable Li-Ion 880 mAh battery,2.0| A2DP,(undefined),(undefined),Dark Pearl Gray,99 x 46 x 17.5 mm| 70 cc (3.90 x 1.81 x 0.69 in),TFT 256K colors,(undefined),20 MB,Yes,microSD (dedicated slot),GSM,(undefined),1.3 MP,(undefined),No,Mini-SIM,No,(undefined),Discontinued,miniUSB 1.1
515,Motorola,ATRIX TV XT687,2012 May,Yes,Removable Li-Ion battery,3.0| A2DP| EDR,1.0 GHz Cortex-A5,Qualcomm MSM7227A-AA Snapdragon S1,Dark Grey,119.8 x 60.5 x 9.9 mm (4.72 x 2.38 x 0.39 in),TFT capacitive touchscreen,Adreno 200,512 MB,Yes,microSD up to 32 GB (dedicated slot) 2 GB included,GSM / HSPA,Android 4.0 (Ice Cream Sandwich),8 MP| autofocus| LED flash,512 MB RAM,Stereo FM radio| RDS,Dual SIM (Mini-SIM| dual stand-by),VGA,Accelerometer| proximity| compass,Available. Released 2012 June,microUSB 2.0
516,Motorola,Motoluxe XT389,2012 Q2,Yes,Removable Li-Ion battery,4.0| A2DP| LE,800 MHz Cortex-A9,Mediatek MT6573,White| Black,116 x 63.5 x 11 mm (4.57 x 2.5 x 0.43 in),TFT capacitive touchscreen,PowerVR SGX531,512 MB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 2.3.6 (Gingerbread),3.15 MP,512 MB RAM,No,Mini-SIM,No,Accelerometer| proximity| compass,Available. Released 2012 Q2,microUSB 2.0
517,Motorola,MILESTONE XT720,2010 June. Released 2010 July,Yes,Removable Li-Po 1390 mAh battery,2.1| A2DP,600 MHz Cortex-A8,(undefined),Black Slate,116 x 60.9 x 10.9 mm (4.57 x 2.40 x 0.43 in),TFT capacitive touchscreen 16M colors,PowerVR SGX530,512 MB,Yes,microSD up to 32 GB (dedicated slot) 8 GB included,GSM / HSPA,Android 2.1 (Eclair),8 MP| autofocus| Xenon flash|,256 MB RAM,Stereo FM radio| RDS,Mini-SIM,No,Accelerometer| proximity| compass,Discontinued,microUSB 2.0
518,Motorola,V750,2003 3Q,No,Removable Li-Ion battery,No,(undefined),(undefined),Grey,94 x 49 x 27 mm (3.70 x 1.93 x 1.06 in),TFT 65k colors,(undefined),(undefined),No,No,GSM,(undefined),CIF,(undefined),No,Mini-SIM,No,(undefined),Discontinued,(undefined)
519,Motorola,A920,2003,No,Removable Li-Po 1050 mAh battery (BA680),Yes,168 MHz ARM925T,TI OMAP 1510,(undefined),148 x 60 x 24 mm| 175 cc (5.83 x 2.36 x 0.94 in),TFT resistive touchscreen 65K colors,(undefined),8 MB,No,MMC/SD 32 MB SD included,GSM / UMTS,Symbian 7.0| UIQ 2.0,VGA,(undefined),No,Mini-SIM,Yes,(undefined),Discontinued,Yes
520,Motorola,DROID BIONIC XT875,2011 January,Yes,Removable Li-Ion 1735 mAh battery,2.1| A2DP| EDR,Dual-core 1.0 GHz Cortex-A9,TI OMAP 4430,Black,127.5 x 66.9 x 11 mm (5.02 x 2.63 x 0.43 in),TFT capacitive touchscreen 16M colors,PowerVR SGX540,16 GB,Yes,microSD up to 32 GB (dedicated slot) 16 GB included,CDMA / EVDO / LTE,Android 2.3.4 (Gingerbread),8 MP| autofocus| LED flash,512 MB RAM,No,Mini-SIM,VGA,Accelerometer| proximity| compass,Available. Released 2011 September,microUSB 2.0
521,Motorola,DROID 3,2011 July,Yes,Removable Li-Ion 1540 mAh battery,2.1| A2DP| EDR,Dual-core 1GHz Cortex-A9,TI OMAP 4430,Black,124 x 64 x 13 mm (4.88 x 2.52 x 0.51 in),TFT capacitive touchscreen 16M colors,PowerVR SGX540,16 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / CDMA / HSPA / EVDO,Android 2.3 (Gingerbread)| not upgradable to 4.1 (Jelly Bean),8 MP| autofocus| LED flash,512 MB RAM,No,Mini-SIM,VGA,Accelerometer| proximity| compass,Available. Released 2011 July,microUSB 2.0
522,Motorola,A1600,2008 June. Released 2008 August,No,Removable Li-Ion 930 mAh battery,2.0| A2DP,(undefined),(undefined),Black,98.9 x 53.5 x 19.6 mm (3.89 x 2.11 x 0.77 in),TFT resistive touchscreen 256K colors,(undefined),27 MB,Yes,microSD up to 4 GB (dedicated slot),GSM,Linux,3.15 MP| autofocus,(undefined),Stereo FM radio,Mini-SIM,No,(undefined),Discontinued,microUSB 2.0
523,Motorola,WX280,2009 December. Released 2010,No,Removable Li-Ion 650 mAh battery,No,(undefined),(undefined),Black,107 x 46 x 12.2 mm| 59.8 cc (4.21 x 1.81 x 0.48 in),CSTN 65K colors,(undefined),(undefined),Yes,No,GSM,(undefined),VGA,(undefined),FM radio| RDS,Mini-SIM,No,(undefined),Discontinued,miniUSB
524,Motorola,XT806,2010 September. Released 2010 Q4,No,Removable Li-Ion 1380 mAh battery,2.1| A2DP,600 MHz Cortex-A8,TI OMAP 3430,Gray,109.9 x 57 x 18.6 mm| 98 cc (4.33 x 2.24 x 0.73 in),TFT resistive touchscreen 16M colors,PowerVR SGX530,512 MB,Yes,microSD up to 32 GB (dedicated slot),GSM / CDMA / EVDO,Android 2.1 (Eclair),5 MP| autofocus| LED flash,512 MB RAM,Stereo FM radio| RDS,Mini-SIM,No,Accelerometer| compass,Discontinued,microUSB 2.0
525,Motorola,Moto G Dual SIM (2nd gen),2014 September,Yes,Non-removable Li-Ion 2070 mAh battery,4.0| A2DP| LE,Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8226 Snapdragon 400,White| Black,141.5 x 70.7 x 11 mm (5.57 x 2.78 x 0.43 in),IPS LCD capacitive touchscreen 16M colors,Adreno 305,8/16 GB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.4.4 (KitKat)| upgradable to Android L,8 MP| f/2.0| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM| (Micro-SIM| dual stand-by),2 MP| f/2.2,Accelerometer| gyro| proximity| compass,Available. Released 2014 September,microUSB 2.0| USB Host
526,Motorola,RAZR i XT890,2012 September,Yes,Non-removable Li-Ion 2000 mAh battery,2.1| A2DP| EDR,2 GHz,Intel Atom Z2460,Black| White,122.5 x 60.9 x 8.3 mm (4.82 x 2.40 x 0.33 in),Super AMOLED Advanced capacitive touchscreen 16M colors,PowerVR SGX540,8 GB (5 GB user available),Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.0.4 (Ice Cream Sandwich)| 4.1.2 (Jelly Bean)| planned upgrade to 4.4.2 (KitKat),8 MP| autofocus| LED flash|,1 GB RAM,No,Micro-SIM,VGA,Accelerometer| proximity| compass,Available. Released 2012 October,microUSB 2.0
527,Motorola,WX260,2010 April. Released 2010 July,No,Removable Li-Ion 750 mAh battery,2,(undefined),(undefined),Black,107.6 x 45.3 x 14.3 mm (4.24 x 1.78 x 0.56 in),TFT 65K colors,(undefined),(undefined),Yes,microSD up to 2 GB (dedicated slot),GSM,(undefined),(undefined),(undefined),Stereo FM radio| RDS,Mini-SIM,(undefined),(undefined),Discontinued,miniUSB
528,Motorola,QUENCH,2010 February. Released 2010 April,Yes,Removable Li-Po 1420 mAh battery,2.0| A2DP,528 MHz ARM 11,Qualcomm MSM7201A,Black| White| Licorice| Purple,116.8 x 60 x 12.4 mm (4.60 x 2.36 x 0.49 in),TFT capacitive touchscreen 65K colors,Adreno 130,512 MB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot) 2 GB included,GSM / HSPA,Android 1.5 (Cupcake)| upgradable to 2.1 (Eclair) in USA,5 MP| autofocus| LED flash,256 MB RAM,Stereo FM radio| RDS,Mini-SIM,(undefined),Accelerometer| proximity| compass,Discontinued,microUSB 2.0
529,Motorola,Moto E,2014 May,Yes,Non-removable Li-Ion 1980 mAh battery,4.0| LE,Dual-core 1.2 GHz Cortex-A7,Qualcomm Snapdragon 200,Black| White,124.8 x 64.8 x 12.3 mm (4.91 x 2.55 x 0.48 in),Capacitive touchscreen 16M colors,Adreno 302,4 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.4.2 (KitKat)| upgradable to 5.1 (Lollipop),5 MP| f/2.4|,1 GB RAM,FM radio| RDS,Micro-SIM,No,Accelerometer| proximity,Available. Released 2014 May,microUSB 2.0
530,Motorola,V291,2003 3Q,No,Removable Li-Ion 700 mAh battery,No,(undefined),(undefined),Silver| Red,87 x 47 x 22.4 mm (3.43 x 1.85 x 0.88 in),CSTN 4096 colors,(undefined),512 KB,No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
531,Motorola,Talkabout T2288,2000,No,Removable Li-Ion 700 mAh battery,No,(undefined),(undefined),3,130 x 47 x 27 mm (5.12 x 1.85 x 1.06 in),Monochrome graphic Optimax,(undefined),(undefined),No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
532,Motorola,FlipOut,2010 June. Released 2010 June,Yes,Removable Li-Ion 1130 mAh battery,2.1| A2DP,600 MHz Cortex-A8,TI OMAP 3410,White| Fairway Green| Poppy Red| Raspberry Crush| Brilliant Blue| Licorice| Saffron,67 x 67 x 17 mm| 76 cc (2.64 x 2.64 x 0.67 in),TFT capacitive touchscreen 256K colors,PowerVR SGX530,512 MB,Yes,microSD up to 32 GB (dedicated slot) 2 GB included,GSM / HSPA,Android 2.1 (Eclair),3.15 MP|,512 MB RAM,Stereo FM radio| RDS,Mini-SIM,No,Accelerometer| proximity| compass,Discontinued,microUSB 2.0
533,Motorola,V635,2004 4Q,No,Removable Li-Ion battery,1.1,(undefined),(undefined),Crystal Silver| Black,89 x 49 x 25 mm| 85 cc (3.50 x 1.93 x 0.98 in),TFT 256K colors,(undefined),5 MB,Yes,microSD up to 1 GB (dedicated slot),GSM,(undefined),1.23 MP| LED flash,(undefined),No,Mini-SIM,No,(undefined),Discontinued,Yes
534,Motorola,C975,2004 3Q,No,Removable Li-Ion 820 mAh battery (BA620),No,(undefined),(undefined),(undefined),114 x 53 x 24 mm| 112 cc (4.49 x 2.09 x 0.94 in),TFT 65K colors,(undefined),3.7 MB,Yes,microSD (dedicated slot),GSM / UMTS,(undefined),VGA,(undefined),No,Mini-SIM,Yes,(undefined),Discontinued,Yes
535,Motorola,RAZR2 V9x,2008 July,No,Removable Li-Ion 950 mAh battery,2.0| A2DP,(undefined),(undefined),Black,103 x 53 x 13 mm (4.06 x 2.09 x 0.51 in),TFT 256K colors,(undefined),45 MB,Yes,microSD up to 8 GB (dedicated slot),GSM / HSPA,(undefined),2 MP,(undefined),No,Mini-SIM,No,(undefined),Discontinued,microUSB 2.0
536,Motorola,RAZR V3i,2005 November,No,Removable Li-Ion 710 mAh battery,1.2,(undefined),(undefined),Silver Quartz,98 x 53 x 13.9 mm| 65 cc (3.86 x 2.09 x 0.55 in),TFT 256K colors,(undefined),10 MB,Yes,microSD up to 512 MB (dedicated slot),GSM,(undefined),1.23 MP,(undefined),No,Mini-SIM,No,(undefined),Discontinued,miniUSB
537,Motorola,MOTO MT716,2010 October. Released 2010 Q4,Yes,Removable Li-Po 1380 mAh battery,2.1| A2DP,600 MHz Cortex-A8,TI OMAP 3430,Black,110 x 59.9 x 17.2 mm| 102 cc (4.33 x 2.36 x 0.68 in),TFT capacitive touchscreen 16M colors,PowerVR SGX530,512 MB,Yes,microSD up to 32 GB (dedicated slot),GSM,Android-based OPhone 2.0,8 MP| autofocus| dual-LED flash,512 MB RAM,Stereo FM radio| RDS,Mini-SIM,VGA videocall camera,Accelerometer| proximity| compass,Discontinued,microUSB 2.0
538,Motorola,E398,2004 1Q,No,Removable Li-Ion 830 mAh battery (BX610),1.1,(undefined),(undefined),(undefined),108 x 46 x 21 mm (4.25 x 1.81 x 0.83 in),TFT 65K colors,(undefined),5 MB,Yes with stereo speakers (16 mm 22 Khz with vibration),microSD up to 1 GB (dedicated slot) 64 MB included,GSM,(undefined),VGA| LED flash,(undefined),No,Mini-SIM,No,(undefined),Discontinued,Yes
539,Motorola,XOOM 2 MZ615,2011 November,Yes,Non-removable Li-Ion 7000 mAh battery,2.1| A2DP| EDR,Dual-core 1.2 GHz Cortex-A9,TI OMAP 4430,Black,253.9 x 173.6 x 8.8 mm (10.00 x 6.83 x 0.35 in),HD-IPS LCD capacitive touchscreen 16M colors,PowerVR SGX540,16/32 GB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot) - market dependent,No cellular connectivity,Android 3.2 (Honeycomb)| upgradable to 4.0.4 (Ice Cream Sandwich),5 MP| autofocus| LED flash,1 GB RAM,No,No,1.3 MP,Accelerometer| gyro| compass| barometer,Available. Released 2011 December,microUSB 2.0
540,Motorola,Moto G (3rd gen),2015 July,Yes,Non-removable Li-Ion 2470 mAh battery,4.0| A2DP| LE,Quad-core 1.4 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Black| White,142.1 x 72.4 x 11.6 mm (5.59 x 2.85 x 0.46 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,8 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / CDMA / HSPA / LTE,Android 5.1.1 (Lollipop)| upgradable to 6.0 (Marshmallow),13 MP| f/2.0| autofocus| dual-LED (dual tone) flash|,1 GB RAM,FM radio,Micro-SIM,5 MP| f/2.2 auto-HDR,Accelerometer| proximity,Available. Released 2015 July,microUSB 2.0| USB Host
541,Motorola,MILESTONE 2 ME722,2010 December,Yes,Removable Li-Po 1390 mAh battery,2.1| A2DP| EDR,1.0 GHz Cortex-A8,TI OMAP 3630,Black,116.3 x 60.5 x 13.7 mm (4.58 x 2.38 x 0.54 in),TFT capacitive touchscreen 16M colors,PowerVR SGX530,8 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 2.2 (Froyo),5 MP| autofocus| dual-LED flash,512 MB RAM,No,Mini-SIM,No,Accelerometer| proximity| compass,Available. Released 2011 Q1,microUSB 2.0
542,Motorola,Moto 360 46mm (2nd gen),2015 September,No,Non-removable Li-Ion 400 mAh battery,4.0| LE,Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Black Leather| Black Metal| Rose Gold/Blush Leather| Silver/Cognac Leather,46 x 46 x 11.4 mm (1.81 x 1.81 x 0.45 in),IPS LCD capacitive touchscreen 16M colors,Adreno 305,4 GB,No,No,No cellular connectivity,Android Wear| planned upgrade to 2.0,(undefined),512 MB RAM,No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2015 September,No
543,Motorola,T720i,42644,No,Removable Li-Ion 1100 mAh battery (98481/SNN5595),No,(undefined),(undefined),(undefined),90 x 47 x 21 mm (3.54 x 1.85 x 0.83 in),CSTN 4096 colors,(undefined),(undefined),Yes,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
544,Motorola,CHARM,2010 July. Released 2010 August,Yes,Removable Li-Ion 1130 mAh battery,2.0| A2DP,600 MHz Cortex-A8,TI OMAP 3410,Golden Bronze| Cabernet,98.4 x 67.2 x 11.4 mm| 75 cc (3.87 x 2.65 x 0.45 in),TFT capacitive touchscreen 256K colors,PowerVR SGX530,512 MB,Yes,microSD up to 32 GB (dedicated slot) 2 GB included,GSM / HSPA,Android 2.1 (Eclair),3.15 MP,512 MB RAM,Stereo FM radio| RDS,Mini-SIM,No,Accelerometer| proximity| compass,Discontinued,microUSB 2.0
545,Motorola,Karma QA1,2009 June. Released 2009 August,Yes,Removable Li-Ion 1170 mAh battery,2.0| A2DP,(undefined),(undefined),Black,88 x 64 x 17.9 mm (3.46 x 2.52 x 0.70 in),TFT 256K colors,(undefined),100 MB,Yes,microSD up to 16 GB (dedicated slot),GSM / HSPA,(undefined),2 MP| LED flash,(undefined),No,Mini-SIM,No,(undefined),Discontinued,microUSB 2.0
546,Motorola,Moto G4 Play,2016 May,Yes,Removable Li-Po 2800 mAh battery,4.1| A2DP| LE,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Black| White,144.4 x 72 x 9.9 mm (5.69 x 2.83 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,8/16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 6.0.1 (Marshmallow)| planned upgrade to 7.0 (Nougat),8 MP| f/2.2| autofocus| LED flash,1/2 GB RAM,FM radio,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.2,Accelerometer| proximity,Available. Released 2016 August,microUSB 2.0
547,Motorola,Moto E4 Plus (USA),2017 June,Yes,Non-removable Li-Ion 5000 mAh battery,4.1| A2DP| LE,Quad-core 1.4 GHz Cortex-A53,Qualcomm MSM8920 Snapdragon 427,Iron Gray| Fine Gold,155 x 77.5 x 9.6 mm (6.10 x 3.05 x 0.38 in),IPS LCD capacitive touchscreen 16M colors,Adreno 308,16/32 GB,Yes,microSD up to 128 GB,GSM / CDMA / HSPA / LTE,Android 7.1 (Nougat),13 MP| f/2.0| autofocus| LED flash,2 GB RAM,FM radio,Nano-SIM,5 MP| f/2.2| 1.4 �m pixel size| LED flash,Fingerprint (front-mounted)| accelerometer| proximity| compass,Coming soon. Exp. release 2017 June,microUSB 2.0
548,Motorola,MotoGO EX430,2012 May,Yes,Removable Li-Ion 910 mAh battery,2.1| A2DP| EDR,MTK 6276W,(undefined),White,104 x 63.9 x 13 mm (4.09 x 2.52 x 0.51 in),TFT 256K colors,(undefined),50 MB,Yes,microSD up to 32 GB (dedicated slot) 2 GB included,GSM / HSPA,(undefined),2 MP,(undefined),FM radio,Mini-SIM,No,(undefined),Available. Released 2012 Q4,microUSB 2.0
